Date,negative,neutral,positive
2017-08-25,0.12,0.599863,0.275285
2017-08-26,0.130691,0.550584,0.318726
2017-08-27,0.171771,0.569173,0.259056
2017-08-28,0.102439,0.677126,0.220435
2017-08-29,0.140555,0.598334,0.261111
2017-08-30,0.137373,0.590152,0.272475
